ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6747000000000001,0.5147368421052632,0.0,0.0,0.0
01,source,0.6085,0.5168421052631579,0.0,0.0,0.0
02,source,0.7454,0.5631578947368421,0.0,0.0,0.0
00,target,0.5468,0.5063157894736842,0.0,0.0,0.0
01,target,0.641,0.5168421052631579,0.0,0.0,0.0
02,target,0.5698,0.5321052631578947,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6310333333333333,0.525,0.08333333333333333,0.16666666666666666,0.1111111111111111
harmonic mean,,0.6242863913629194,0.5243621099763046,2.6645352591003756e-16,2.6645352591003756e-16,2.6645352591003756e-16

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7348000000000001,0.6910526315789474,0.5,1.0,0.6666666666666666
01,source,0.7295,0.6252631578947369,0.5076142131979695,1.0,0.6734006734006733
02,source,0.7172999999999999,0.4747368421052631,0.5,1.0,0.6666666666666666
00,target,0.5871,0.49842105263157893,0.5,1.0,0.6666666666666666
01,target,0.5141,0.4884210526315789,0.5,1.0,0.6666666666666666
02,target,0.5397,0.51,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6370833333333333,0.5479824561403509,0.501269035532995,1.0,0.6677890011223343
harmonic mean,,0.6232374899514583,0.537280148299097,0.5012531328320802,1.0,0.667779632721202

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6698999999999999,0.5689473684210526,0.6477272727272727,0.57,0.6063829787234042
01,source,0.663,0.508421052631579,0.6190476190476191,0.39,0.47852760736196315
02,source,0.637,0.5336842105263158,0.6567164179104478,0.44,0.5269461077844311
00,target,0.6988,0.5436842105263158,0.6521739130434783,0.6,0.6250000000000001
01,target,0.5008,0.48157894736842105,0.5052631578947369,0.48,0.4923076923076923
02,target,0.6548,0.5578947368421052,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6373833333333333,0.5323684210526316,0.5968213967705923,0.58,0.5659718421406928
harmonic mean,,0.6298598906266887,0.5306667282985467,0.5885542941667316,0.5290438084317506,0.5572146275675887

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5563858363858364,0.5122421438210912,0.4444444444444444,0.22857142857142856,0.3018867924528302
01,source,0.7304526748971193,0.5255757707024764,0.6666666666666666,0.3148148148148148,0.4276729559748428
02,source,0.5875603864734299,0.516060683108738,0.6133333333333333,0.3333333333333333,0.431924882629108
00,target,0.7338927469135802,0.555921052631579,0.72,0.5,0.5901639344262295
01,target,0.7353395061728396,0.5135730272182514,0.6341463414634146,0.24074074074074073,0.3489932885906041
02,target,0.6679365079365079,0.5396825396825397,0.734375,0.39166666666666666,0.5108695652173912
arithmetic mean,,0.6685946097965522,0.5271758695274459,0.6354942976513099,0.33485449735449735,0.4352519032151676
harmonic mean,,0.6602154825257958,0.5267069353484649,0.6180502263236692,0.311550610664842,0.4142722720785646

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6667,0.6131578947368421,0.75,0.42,0.5384615384615385
01,source,0.8108,0.5689473684210526,0.7340425531914894,0.69,0.711340206185567
02,source,0.6376,0.5552631578947369,0.6833333333333333,0.41,0.5125000000000001
00,target,0.5760000000000001,0.5147368421052632,0.5454545454545454,0.36,0.43373493975903615
01,target,0.5094000000000001,0.48947368421052634,0.5035460992907801,0.71,0.5892116182572614
02,target,0.6288,0.5157894736842106,0.5869565217391305,0.27,0.36986301369863017
arithmetic mean,,0.6382166666666667,0.5428947368421052,0.6338888421682131,0.4766666666666666,0.525851886060339
harmonic mean,,0.6255739675094987,0.5398592709004081,0.6197054344249887,0.4237532236835588,0.5033302920650865

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7377999999999999,0.5294736842105263,0.7254901960784313,0.37,0.4900662251655629
01,source,0.8225,0.608421052631579,0.8059701492537313,0.54,0.6467065868263473
02,source,0.7819964349376115,0.6542827657378741,0.7368421052631579,0.5490196078431373,0.6292134831460675
00,target,0.6708,0.5768421052631579,0.6923076923076923,0.45,0.5454545454545455
01,target,0.6733673469387754,0.5313641245972073,0.711864406779661,0.42,0.5283018867924528
02,target,0.48346789696270676,0.5047451385094801,0.4883720930232558,0.6176470588235294,0.5454545454545455
arithmetic mean,,0.6949886131398489,0.5675214784916375,0.6934744404509883,0.4911111111111111,0.5641995454732536
harmonic mean,,0.6745980657202684,0.5629901027737266,0.6762020644807774,0.47625831093908294,0.5588857716098203

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.5045000000000001,0.5078947368421053,0.6,0.21,0.3111111111111111
01,source,0.5257000000000001,0.49,0.48717948717948717,0.19,0.2733812949640288
02,source,0.6,0.5210526315789473,0.6097560975609756,0.25,0.3546099290780142
00,target,0.47519999999999996,0.4868421052631579,0.4,0.14,0.20740740740740743
01,target,0.5551,0.5305263157894737,0.5208333333333334,0.75,0.6147540983606556
02,target,0.5544,0.4905263157894737,0.55,0.22,0.3142857142857143
arithmetic mean,,0.5358166666666667,0.5044736842105263,0.5279614863456327,0.29333333333333333,0.3459249258678219
harmonic mean,,0.5328284986933747,0.5039255184256207,0.5173537671110426,0.22183846076085856,0.31052535196469716

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.634730936609962,0.5353452351806709,0.5246061188932949,0.4775188964474679,0.45944288785581716
"harmonic mean over all machine types, sections, and domains",,0.621319898198286,0.5317410934004457,1.8651746813702615e-15,1.865174681370256e-15,1.8651746813702583e-15

