ToyCar
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6613,0.6721052631578948,0.7931034482758621,0.46,0.5822784810126583
01,source,0.7261,0.7063157894736842,1.0,0.23,0.3739837398373984
02,source,0.49529999999999996,0.4942105263157895,0.5,0.03,0.056603773584905655
00,target,0.7691,0.5663157894736842,0.0,0.0,0.0
01,target,0.6793,0.5805263157894737,0.7777777777777778,0.07,0.12844036697247707
02,target,0.5307,0.49105263157894735,0.4444444444444444,0.08,0.13559322033898308
arithmetic mean,,0.6436333333333333,0.5850877192982455,0.5858876117496807,0.145,0.21281659695773714
harmonic mean,,0.6272869456628917,0.5740580682917483,1.3322676295501859e-15,1.3322676295501683e-15,1.332267629550177e-15

ToyTrain
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6900999999999999,0.6163157894736843,1.0,0.01,0.019801980198019802
01,source,0.6634,0.5515789473684211,0.0,0.0,0.0
02,source,0.524,0.5389473684210526,0.6666666666666666,0.22,0.33082706766917297
00,target,0.4311,0.47842105263157897,0.0,0.0,0.0
01,target,0.42269999999999996,0.4868421052631579,0.0,0.0,0.0
02,target,0.45885,0.49624060150375937,0.5,1.0,0.6666666666666666
arithmetic mean,,0.5316916666666666,0.5280576441102757,0.3611111111111111,0.205,0.16954928575564324
harmonic mean,,0.5115263346265644,0.5239989203039224,4.4408920985006247e-16,4.440892098500592e-16,4.4408920985006084e-16

fan
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.6065999999999999,0.4994736842105263,0.581081081081081,0.43,0.49425287356321834
01,source,0.8598999999999999,0.8473684210526315,0.543859649122807,0.93,0.6863468634686347
02,source,0.7381000000000001,0.7742105263157895,0.6888888888888889,0.62,0.6526315789473685
00,target,0.49154999999999993,0.48789473684210527,0.5128205128205128,0.6,0.5529953917050691
01,target,0.8671,0.6873684210526316,0.5,1.0,0.6666666666666666
02,target,0.6079,0.7610526315789474,0.4485294117647059,0.61,0.5169491525423728
arithmetic mean,,0.6951916666666667,0.6762280701754385,0.545863257279666,0.6983333333333334,0.5949737544822217
harmonic mean,,0.6667447011738095,0.6456968753732961,0.5361565665354531,0.6437931007181144,0.5850654617220389

gearbox
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.8778998778998779,0.7568279673542833,0.7155172413793104,0.7904761904761904,0.751131221719457
01,source,0.766803840877915,0.6330589849108368,0.8648648648648649,0.2962962962962963,0.4413793103448276
02,source,0.7663043478260869,0.6078763737039862,0.6703910614525139,0.8695652173913043,0.7570977917981071
00,target,0.6631944444444444,0.6361273554256011,0.7066666666666667,0.49074074074074076,0.5792349726775956
01,target,0.7211934156378602,0.5457006714316656,0.6829268292682927,0.25925925925925924,0.37583892617449666
02,target,0.8035714285714286,0.556390977443609,0.6890243902439024,0.9416666666666667,0.795774647887324
arithmetic mean,,0.7664945592096021,0.6226637217116636,0.721565175645925,0.6080007284717429,0.616742811766968
harmonic mean,,0.7607407541628016,0.6155220367475183,0.7163140328832688,0.4707032031737839,0.5680984226926257

pump
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7474000000000001,0.5726315789473684,0.7083333333333334,0.68,0.6938775510204083
01,source,0.83775,0.7689473684210526,1.0,0.08,0.14814814814814814
02,source,0.7383,0.5815789473684211,0.7674418604651163,0.33,0.46153846153846156
00,target,0.625,0.5547368421052632,0.5957446808510638,0.56,0.577319587628866
01,target,0.7169,0.6966521975040695,1.0,0.01,0.019801980198019802
02,target,0.5814500000000001,0.4905263157894737,0.375,0.03,0.05555555555555555
arithmetic mean,,0.7078000000000001,0.6108455416892747,0.741086645774919,0.2816666666666667,0.32604021401490996
harmonic mean,,0.6976061877407954,0.5974322758588595,0.6622492358500509,0.03944256120527307,0.07445093737101645

slider
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.7929000000000002,0.6521052631578947,0.8484848484848485,0.56,0.6746987951807228
01,source,0.6265000000000001,0.6663157894736842,0.7333333333333333,0.44,0.5499999999999999
02,source,0.812433155080214,0.8067360915658129,0.9078947368421053,0.6764705882352942,0.7752808988764046
00,target,0.6697,0.5852631578947368,0.5771812080536913,0.86,0.6907630522088354
01,target,0.45816326530612245,0.4916219119226638,0.47593582887700536,0.89,0.6202090592334495
02,target,0.5198961937716263,0.5195167850421902,0.5,1.0,0.6666666666666666
arithmetic mean,,0.6465987690263272,0.6202598331761638,0.6738049925984972,0.7377450980392157,0.6629364120276798
harmonic mean,,0.6193530708368818,0.6035349306310188,0.633089111296438,0.6800339711782448,0.6557223891811728

valve
section,domain,AUC,pAUC,precision,recall,F1 score
00,source,0.71495,0.6957894736842105,0.6938775510204082,0.68,0.686868686868687
01,source,0.5676,0.5052631578947369,0.54421768707483,0.8,0.6477732793522268
02,source,0.8065,0.6152631578947368,0.7796610169491526,0.46,0.5786163522012578
00,target,0.6559499999999999,0.6699999999999999,0.5918367346938775,0.58,0.5858585858585857
01,target,0.699,0.6205263157894737,0.5,1.0,0.6666666666666666
02,target,0.6517,0.5468421052631579,0.5901639344262295,0.72,0.6486486486486487
arithmetic mean,,0.6826166666666666,0.6089473684210526,0.6166261540274163,0.7066666666666667,0.6357387032660121
harmonic mean,,0.674915721108995,0.6015364606846766,0.6032949082268291,0.6661094957748478,0.6331480588151093

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6677180945098945,0.6074414140831592,0.606563564026745,0.4832017847396607,0.4598282540387389
