================ Training Loss (Tue Feb  8 03:37:46 2022) ================
   Avg Run Time (ms/batch): 6389.296 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6387.458 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6374.614 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6382.809 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6407.328 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6391.429 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6416.127 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6382.334 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6403.794 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6437.499 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6395.524 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6433.525 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6439.424 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6399.655 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6459.211 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6365.942 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6405.798 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6416.762 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6351.413 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6416.395 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6369.054 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6374.963 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6170.006 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6212.843 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6235.279 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6270.739 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6244.001 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6260.959 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6306.162 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6284.988 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6333.915 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6325.564 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6093.204 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6130.124 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6270.324 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6417.839 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6467.943 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6429.153 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6428.746 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6360.520 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6397.315 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6386.271 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6347.884 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6311.220 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6416.931 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6410.432 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6369.873 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6456.711 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6385.672 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6399.421 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6336.302 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6339.483 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6419.677 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6395.000 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6341.225 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6383.585 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6338.072 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6408.676 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6377.019 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6431.984 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6418.019 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6421.090 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6361.085 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6409.320 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6405.392 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6413.081 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6365.652 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6363.727 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6417.896 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6398.181 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6337.421 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6422.848 roc: 0.333 max roc: 0.333
   Avg Run Time (ms/batch): 6392.515 roc: 0.444 max roc: 0.444
   Avg Run Time (ms/batch): 6360.172 roc: 0.333 max roc: 0.333
